Year,Category,Revenues
2021,Unknown,41877840
2021,가구/인테리어,1285100
2021,건강,225582800
2021,건강식품,165923900
2021,건강용품,181400
2021,계절가전/계절용품,4737000
2021,과자/간식/안주,10679660
2021,국/탕/찌개/면,39847300
2021,김치/젓갈,74479550
2021,냄비/팬/솥,17229400
2021,농축산/과일/계란,12425000
2021,도서,591500
2021,밥/반찬/요리,119403540
2021,뷰티/다이어트,14426500
2021,사료/간식,325000
2021,생활용품/차량용품/마스크,12907700
2021,수산/건어물/김,88766740
2021,수저/양식기,31000
2021,영양제,989000
2021,욕실/세정/위생용품,15377000
2021,위생/케어/패드,70000
2021,유아동/완구/매트,73800
2021,유제품/베이커리/떡,4454340
2021,음료/차,1241000
2021,잼/오일/조미/장,1261400
2021,조리도구,153500
2021,주방가전,2250800
2021,주방잡화/용품,2877300
2021,패션/잡화,20360650
2022,Unknown,157344820
2022,가구/인테리어,9057200
2022,건강,455602500
2022,건강식품,1191034500
2022,건강용품,13386000
2022,계절가전/계절용품,51909800
2022,과자/간식/안주,128229800
2022,국/탕/찌개/면,499098840
2022,김치/젓갈,209202550
2022,냄비/팬/솥,30326000
2022,농축산/과일/계란,112621360
2022,도서,5953000
2022,밥/반찬/요리,331065960
2022,뷰티/다이어트,148511750
2022,사료/간식,2008900
2022,생활,61065100
2022,생활가전,31860700
2022,생활용품/차량용품/마스크,61905990
2022,수산/건어물/김,226011830
2022,수저/양식기,4079200
2022,식품,43095600
2022,영양제,2866400
2022,욕실/세정/위생용품,122292300
2022,위생/케어/패드,628900
2022,유아동/완구/매트,169950
2022,유제품/베이커리/떡,152977160
2022,음료/차,24713880
2022,잼/오일/조미/장,15410900
2022,조리도구,32996900
2022,주방,149000
2022,주방가전,21072800
2022,주방잡화/용품,17074000
2022,패션/잡화,116020450
2023,Unknown,30847800
2023,가구/인테리어,4819500
2023,건강,1262199400
2023,건강식품,1247025540
2023,건강용품,33635100
2023,계절가전/계절용품,28552600
2023,과자/간식/안주,83179060
2023,국/탕/찌개/면,278408320
2023,김치/젓갈,93321200
2023,냄비/팬/솥,7884100
2023,농축산/과일/계란,93467600
2023,도서,2454600
2023,바스틀리,201700
2023,밥/반찬/요리,154963780
2023,뷰티/다이어트,235803300
2023,사료/간식,112600
2023,생활,24435400
2023,생활가전,18062000
2023,생활용품/차량용품/마스크,25550620
2023,세바메드,709200
2023,수산/건어물/김,164714610
2023,수저/양식기,779500
2023,식품,75316300
2023,욕실/세정/위생용품,57205600
2023,위생/케어/패드,65800
2023,유아동/완구/매트,779420
2023,유제품/베이커리/떡,58951760
2023,음료/차,30768470
2023,잼/오일/조미/장,33019600
2023,조리도구,5166400
2023,주방,475800
2023,주방가전,9928600
2023,주방잡화/용품,8796400
2023,패션/잡화,27187120
2024,2024 여름 미리준비 기획전,26820
2024,Unknown,32037000
2024,가구/인테리어,13913400
2024,건강,1358959120
2024,건강식품,742038700
2024,건강용품,1413000
2024,계절가전/계절용품,24842900
2024,과자/간식/안주,16228200
2024,국/탕/찌개/면,126539200
2024,김치/젓갈,67615800
2024,냄비/팬/솥,2027000
2024,농축산/과일/계란,19773600
2024,도서,5839100
2024,바스틀리,113700
2024,밥/반찬/요리,63098040
2024,뷰티/다이어트,32997400
2024,생활,11027000
2024,생활가전,614000
2024,생활용품/차량용품/마스크,6917900
2024,세바메드,380500
2024,수산/건어물/김,35350300
2024,식품,160511000
2024,욕실/세정/위생용품,16759000
2024,유아동/완구/매트,552500
2024,유제품/베이커리/떡,18344660
2024,음료/차,7474000
2024,잼/오일/조미/장,6082300
2024,조리도구,1847200
2024,주방,2240000
2024,주방가전,0
2024,주방잡화/용품,1047600
2024,패션/잡화,9030300
