date,value,type,upper_ci,lower_ci
2021-07-31,0.0,Actual,,
2021-08-31,638550.0,Actual,,
2021-09-30,23157680.0,Actual,,
2021-10-31,118509640.0,Actual,,
2021-11-30,258914520.0,Actual,,
2021-12-31,308631368.0,Actual,,
2022-01-31,331294329.0,Actual,,
2022-02-28,261184881.0,Actual,,
2022-03-31,247430575.0,Actual,,
2022-04-30,253263004.0,Actual,,
2022-05-31,257953603.0,Actual,,
2022-06-30,279439357.0,Actual,,
2022-07-31,251709126.0,Actual,,
2022-08-31,336429065.0,Actual,,
2022-09-30,343629610.0,Actual,,
2022-10-31,303548700.0,Actual,,
2022-11-30,281807362.0,Actual,,
2022-12-31,255569631.0,Actual,,
2023-01-31,198986246.0,Actual,,
2023-02-28,183168610.0,Actual,,
2023-03-31,275501212.0,Actual,,
2023-04-30,257525889.0,Actual,,
2023-05-31,162054384.0,Actual,,
2023-06-30,243525289.0,Actual,,
2023-07-31,219932447.0,Actual,,
2023-08-31,237872192.0,Actual,,
2023-09-30,312721289.0,Actual,,
2023-10-31,236746189.0,Actual,,
2023-11-30,336165642.0,Actual,,
2023-12-31,372587444.0,Actual,,
2024-01-31,258474337.0,Actual,,
2024-02-29,232810278.0,Actual,,
2024-03-31,329222103.0,Actual,,
2024-04-30,352307226.0,Actual,,
2024-05-31,392775862.0,Actual,,
2024-06-30,358965511.0,Actual,,
2024-07-31,223901086.0,Actual,,
2024-08-31,292232632.8394076,Forecast,141338167.82447815,443127097.8543371
2024-09-30,317224364.1536834,Forecast,60049939.75067699,574398788.5566899
2024-10-31,266526319.5068067,Forecast,-44960159.45661417,578012798.4702276
2024-11-30,276658747.75881404,Forecast,-90393631.25969738,643711126.7773254
2024-12-31,267243116.2883728,Forecast,-143222952.25223947,677709184.8289851
2025-01-31,194017769.29027137,Forecast,-258142728.72201064,646178267.3025534
2025-02-28,175982893.1377097,Forecast,-313050204.2374047,665015990.512824
2025-03-31,270301534.940034,Forecast,-253693276.76033306,794296346.640401
2025-04-30,263490320.055396,Forecast,-292911241.65490806,819891881.7657
2025-05-31,204747393.03138918,Forecast,-382469924.0550284,791964710.1178067
2025-06-30,254858857.5656034,Forecast,-361530262.93772686,871247978.0689336
2025-07-31,200492026.88995087,Forecast,-443806544.1027205,844790597.8826222
