date,forecast,lower_ci,upper_ci
2024-08-31,292232632.8394076,141338167.82447815,443127097.8543371
2024-09-30,317224364.1536834,60049939.75067699,574398788.5566899
2024-10-31,266526319.5068067,-44960159.45661417,578012798.4702276
2024-11-30,276658747.75881404,-90393631.25969738,643711126.7773254
2024-12-31,267243116.2883728,-143222952.25223947,677709184.8289851
2025-01-31,194017769.29027137,-258142728.72201064,646178267.3025534
2025-02-28,175982893.1377097,-313050204.2374047,665015990.512824
2025-03-31,270301534.940034,-253693276.76033306,794296346.640401
2025-04-30,263490320.055396,-292911241.65490806,819891881.7657
2025-05-31,204747393.03138918,-382469924.0550284,791964710.1178067
2025-06-30,254858857.5656034,-361530262.93772686,871247978.0689336
2025-07-31,200492026.88995087,-443806544.1027205,844790597.8826222
