date,total_revenue
2021-07-31,0
2021-08-31,638550
2021-09-30,23157680
2021-10-31,118509640
2021-11-30,258914520
2021-12-31,308631368
2022-01-31,331294329
2022-02-28,261184881
2022-03-31,247430575
2022-04-30,253263004
2022-05-31,257953603
2022-06-30,279439357
2022-07-31,251709126
2022-08-31,336429065
2022-09-30,343629610
2022-10-31,303548700
2022-11-30,281807362
2022-12-31,255569631
2023-01-31,198986246
2023-02-28,183168610
2023-03-31,275501212
2023-04-30,257525889
2023-05-31,162054384
2023-06-30,243525289
2023-07-31,219932447
2023-08-31,237872192
2023-09-30,312721289
2023-10-31,236746189
2023-11-30,336165642
2023-12-31,372587444
2024-01-31,258474337
2024-02-29,232810278
2024-03-31,329222103
2024-04-30,352307226
2024-05-31,392775862
2024-06-30,358965511
2024-07-31,223901086
