Product,Year,Avg. Price,Num. Order,Num. Refund,Refund Rate,Purchase $,Refund $,Revenues,Company,Category,Discount Target
[밥도둑푸드] 간편한 전라도 우거지 된장 4인분 250g,2021,3500,2406,43,1.7871986699916873,8421000,150500,8270500,밥도둑푸드,국/탕/찌개/면,할인불가
[자연향기] 하동 녹차 명란김 24봉(3x8봉),2021,18000,2185,44,2.013729977116705,39330000,792000,38538000,자연향기,수산/건어물/김,회원
[밥도둑푸드] 특허상품 노니 순살고등어 1팩 160g 내외,2021,5000,1286,34,2.6438569206842923,6430000,170000,6260000,밥도둑푸드,수산/건어물/김,회원
하동 녹차 명란김 24봉,2021,18000,735,26,3.537414965986395,13230000,468000,12762000,자연향기,수산/건어물/김,회원
[밥도둑푸드] 싱싱한 굴로 만든 전라도식 굴무침 600g,2021,40000,673,8,1.188707280832095,26920000,320000,26600000,밥도둑푸드,밥/반찬/요리,회원
[밥도둑푸드] 여수 초롱무 총각김치 1kg,2021,18000,618,11,1.779935275080906,11124000,198000,10926000,밥도둑푸드,김치/젓갈,회원
[아임굿] '간'편한 기력회복 숙취해소 세계특허 과채음료,2021,147000,598,9,1.5050167224080269,87906000,1323000,86583000,아임굿,건강식품,회원
[밥도둑푸드] 싱싱한 굴로 만든 전라도식 굴무침 600g,2021,55000,586,12,2.04778156996587,32230000,660000,31570000,밥도둑푸드,밥/반찬/요리,회원
[밥도둑푸드] 가정식 여수 순살 꼬막장,2021,12500,512,3,0.5859375,6400000,37500,6362500,밥도둑푸드,밥/반찬/요리,회원
[셀핀다] 고순도 프리미엄 발효가바 가바750/1500/가바꿀O 2+1,2021,177000,445,13,2.9213483146067416,78765000,2301000,76464000,셀핀다,건강,회원
[밥도둑푸드] 국내산 새우로 만든 깐 새우장 300g,2021,15000,410,3,0.7317073170731708,6150000,45000,6105000,밥도둑푸드,밥/반찬/요리,회원
[고성태젓갈] 강원도식 양념명란젓(파지),2021,19500,364,3,0.8241758241758242,7098000,58500,7039500,고성태젓갈,김치/젓갈,할인불가
[자연향기] 하동 녹차 명란김 24봉,2021,18000,346,13,3.757225433526012,6228000,234000,5994000,자연향기,수산/건어물/김,회원
[밥도둑푸드] 전라도식 양념갈치젓갈 500g,2021,9900,305,4,1.3114754098360657,3019500,39600,2979900,밥도둑푸드,김치/젓갈,할인불가
[밥도둑푸드] 전라도식 양념 오징어 젓갈 500g,2021,12900,302,6,1.9867549668874172,3895800,77400,3818400,밥도둑푸드,김치/젓갈,회원
[NK타히보] 골드제로 타히보차 음료 500ml 1box[20병],2021,50000,294,2,0.6802721088435374,14700000,100000,14600000,NK타히보,건강식품,할인불가
[셀핀다] 고순도 프리미엄 발효가바 가바750/1500/가바꿀O 2+1,2021,117000,265,8,3.018867924528302,31005000,936000,30069000,셀핀다,건강,회원
[용문해장국] 소뼈 가마솥 해장국  700g 3팩,2021,30400,244,0,0.0,7417600,0,7417600,용문해장국,국/탕/찌개/면,회원
[라이프드림] 군산 흰찰쌀보리로 만든 속편한 NEW 군산짬뽕라면,2021,20200,232,3,1.293103448275862,4686400,60600,4625800,라이프드림,국/탕/찌개/면,할인불가
[밥도둑푸드] 통영 양념 멍게젓갈 500g,2021,18000,227,1,0.4405286343612335,4086000,18000,4068000,밥도둑푸드,김치/젓갈,할인불가
[샤인룩] 최고급 프리미엄 극세사 김서림방지 안경닦이,2021,18000,218,3,1.376146788990826,3924000,54000,3870000,샤인룩,생활용품/차량용품/마스크,할인불가
[밥도둑푸드] 여수맛집 딱새우 된장찌개 2-3인분,2021,7700,205,4,1.951219512195122,1578500,30800,1547700,밥도둑푸드,국/탕/찌개/면,회원
[제주명품] 제주 남원 조생 감귤 S~L 혼합과,2021,24800,205,2,0.975609756097561,5084000,49600,5034400,제주명품,Unknown,Unknown
[밥도둑푸드] 손질된 간편 여수 돌게장,2021,9800,189,3,1.5873015873015872,1852200,29400,1822800,밥도둑푸드,밥/반찬/요리,할인불가
[셀핀다] 고순도 프리미엄 발효가바 100% 1500mg,2021,69000,182,10,5.494505494505495,12558000,690000,11868000,셀핀다,건강,회원
[대도] 전라도 전통식 포기김치,2021,29200,175,1,0.5714285714285714,5110000,29200,5080800,대도,김치/젓갈,할인불가
[밥도둑푸드] 여수 국내산 알배기 암꽃게장 3미,2021,41100,169,4,2.366863905325444,6945900,164400,6781500,밥도둑푸드,밥/반찬/요리,회원
[밥도둑푸드] 손질된 간편 여수 돌게장,2021,21500,164,1,0.6097560975609756,3526000,21500,3504500,밥도둑푸드,밥/반찬/요리,할인불가
[뷰리앤헬스] 백세통밀 8종 저칼로리 통곡물빵,2021,7400,161,0,0.0,1191400,0,1191400,뷰리앤헬스,건강식품,할인불가
