Product,Category,Frequency,Monetary,Recency_Years,R_Score,F_Score,M_Score,Segment
(★개인 결제)[아임굿] '간'편한 기력회복 숙취해소 특허받은 과채음료,건강식품,1,165000,0,5,1,1,New / Niche SKUs
(여름철대비) 산뜻 상쾌 쾌적 시원 솔솔 선풍기 7종,Unknown,1,0,2,2,1,1,Dormant / Long-tail
Hot Ice님 개인 결제창입니다.,Unknown,1,96000,2,2,1,1,Dormant / Long-tail
NK타히보 골드제로 타히보차 음료 500ml 1box[20병],Unknown,40,1945000,3,1,4,4,Declining Stars (At Risk)
NK타히보530 삼각티백 타히보차 티백 1box[30포],욕실/세정/위생용품,4,239200,3,1,1,2,Dormant / Long-tail
[1004] 유기농 인증 프리미엄 천사미 신안 유기농쌀 10KG,농축산/과일/계란,144,5166000,1,3,5,5,Steady Sellers
[101퍼센트] 가성비 반영구 롤 클리너,생활용품/차량용품/마스크,22,415800,2,2,3,2,Needs Review
[23년 특품] 전북 단야 마을 밥맛 좋은 신동진 햅쌀,식품,73,1601300,0,5,4,4,Star Performers
[300야드] 비거리 증가 발란스 인솔,패션/잡화,10,589500,1,3,2,3,Needs Review
[4+1] 셀핀다 고순도 프리미엄 발효가바 100% 1500mg,건강,25,8280000,3,1,3,5,Steady Sellers
[4+1] 셀핀다 고순도 프리미엄 발효가바 100% 750mg,건강,17,3315000,3,1,2,5,Needs Review
[AGK노르딕] 리모컨 에어맥스 팬큘레이터 선풍기,Unknown,3,358000,1,3,1,2,Needs Review
[ALL바른] 신선하고 간편한 국산 대구로 만든 대구탕 2종,국/탕/찌개/면,88,841500,2,2,4,3,Steady Sellers
[AMC] 통째들어간 'FRESH BEATS' ABC주스,음료/차,18,1039370,1,3,3,3,Steady Sellers
[CJ바이오] 김치 생 유산균 스페셜 프로바이오틱스 2g*30포,건강식품,83,1113000,2,2,4,3,Steady Sellers
[EMPORIO ARMANI] 아르마니 기내용 캐리어 21인치,패션/잡화,3,450000,1,3,1,2,Needs Review
[G&C] 모기의 천적 그린N클린 캠핑 모기패치&밴드,계절가전/계절용품,25,125000,1,3,3,1,Needs Review
[G&C] 모기의 천적 그린N클린 캥핑 모기패치&밴드,계절가전/계절용품,71,355000,2,2,4,2,Needs Review
[GNC] 머리부터 발끝까지 10종 멀티비타민 트리플액션,건강식품,48,2800000,2,2,4,5,Declining Stars (At Risk)
[GNC] 청소의 제왕 만능 실리콘 끌개 빗자루 호빗,욕실/세정/위생용품,126,2460000,1,3,5,4,Steady Sellers
[HAAP:합] 유칼립투스 카밍 마스크,뷰티/다이어트,81,3360000,1,3,4,5,Steady Sellers
[HAAP:합] 유칼립투스 카밍 에센스,뷰티/다이어트,131,7224000,1,3,5,5,Steady Sellers
[HD푸드] 통영 바다장어 특대 사이즈 1kg(2~4미),수산/건어물/김,29,1131000,1,3,3,3,Steady Sellers
[K-HOT팩] 친환경 아사히카사히 핫팩,계절가전/계절용품,129,835800,2,2,5,3,Steady Sellers
[KBH] 고함량 단백질 산양유 프로틴 1+1,건강식품,89,6246600,1,3,4,5,Steady Sellers
[LOML] 냄새차단 대용량 휴지통 29L,생활용품/차량용품/마스크,2,120600,1,3,1,1,Needs Review
[NFC생명과학] 근육통에 탁월한 제주 참꽃 마사지 크림,뷰티/다이어트,3,114000,2,2,1,1,Dormant / Long-tail
[NK타히보] 530 삼각티백 타히보차 티백 1box[30포],건강식품,14,777400,1,3,2,3,Needs Review
[NK타히보] 골드제로 타히보차 음료 500ml 1box[20병],건강식품,349,17150000,2,2,5,5,Declining Stars (At Risk)
[NK타히보] 파우더EX 고농축 동결건조 타히보추출분말 1box[30포],건강식품,1,151300,3,1,1,1,Dormant / Long-tail
[NK타히보] 프리미엄티 액상 타히보차 선물세트 30ml[60포],건강식품,20,2533000,2,2,3,4,Steady Sellers
[NK플러스] 건강기능 멀티비타민 면역력강화,Unknown,11,1408000,3,1,2,4,Needs Review
[NK플러스] 건강기능 멀티비타민 면역력강화 1box[3병],Unknown,47,1276000,2,2,4,4,Declining Stars (At Risk)
[NP21] 주름개선 미백효과 비타민 멀티밤 9g,뷰티/다이어트,28,554400,1,3,3,3,Steady Sellers
[PGA투어] 아이웨어 브룩스 선글라스,패션/잡화,12,1668000,2,2,2,4,Needs Review
[PGA투어] 아이웨어 조던 선글라스,패션/잡화,11,1529000,2,2,2,4,Needs Review
[PGA투어] 초발수코팅 방탄렌즈 아이웨어 선글라스 2종,패션/잡화,4,716000,2,2,1,3,Needs Review
[QVE] 마이 헬스가드 안심공간 생활방역,욕실/세정/위생용품,24,729000,2,2,3,3,Steady Sellers
[SFC바이오] 갈증날 땐 수박소다UP,식품,251,7367000,1,3,5,5,Steady Sellers
[SFC바이오] 소화흡수 프로젝트 닥터헬리파,건강식품,12,957000,1,3,2,3,Needs Review
[THE팔당] 맛있게 매콤한 오징어볶음 350g*2팩,밥/반찬/요리,175,3633000,1,3,5,5,Steady Sellers
[★새날] 기억하자! 이채양명주 디퓨저,Unknown,1389,27402300,0,5,5,5,Star Performers
[★새날] 기억하자! 이채양명주 디퓨저(500ml 한개),Unknown,2,39800,0,5,1,1,New / Niche SKUs
[가득찬푸드] 갈비향 가득 갈비꿩만두 600g,밥/반찬/요리,18,162800,2,2,3,1,Needs Review
[가득찬푸드] 매콤 쭈꾸미만두 350G,밥/반찬/요리,13,98200,3,1,2,1,Dormant / Long-tail
[가득찬푸드] 매콤 쭈꾸미만두 350g,밥/반찬/요리,102,701700,1,3,4,3,Steady Sellers
[가득찬푸드] 삼색옹심이꿩만두,밥/반찬/요리,14,139700,2,2,2,1,Dormant / Long-tail
[가득찬푸드] 슈프림 새우만두,밥/반찬/요리,18,142400,3,1,3,1,Needs Review
[가득찬푸드] 슈프림 새우만두 350g,밥/반찬/요리,27,216300,2,2,3,2,Needs Review
[가득찬푸드] 잎새 꿩만두,밥/반찬/요리,64,585600,2,2,4,3,Steady Sellers
[가득찬푸드] 잎새 꿩만두 600g,밥/반찬/요리,8,79200,0,5,2,1,New / Niche SKUs
[가마솥옛날수제누룽지] 국내산 쌀로 만든 바삭 누룽지,Unknown,104,2286000,1,3,4,4,Steady Sellers
[가야] 이은자 산수유 엑기스 500ml,건강식품,7,261000,2,2,2,2,Dormant / Long-tail
[가야] 전남 구례 라임청 300ml,건강식품,4,168000,3,1,1,1,Dormant / Long-tail
[가야] 전남 구례 라임청 500ml,음료/차,6,252000,2,2,1,2,Dormant / Long-tail
[가지산돼지국밥] 진하고 깔끔한 가지산 돼지국밥,국/탕/찌개/면,144,3219500,1,3,5,5,Steady Sellers
[감부자] 영동 곶감 선물세트,농축산/과일/계란,8,515000,1,3,2,2,Needs Review
